Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       16.02.17
Time:       12:26
Revision:   0
Variant:    Default_assembly
Units used: mm

Designator Footprint Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Layer       Rotation 
C503       AP1-00001 -69.375      -52.025      -69.375   -52.025   -69.925   -52.025   TopLayer    360      
C600       AP1-00053 -68.450      -26.525      -68.450   -26.525   -68.450   -27.000   TopLayer    90       
C601       AP1-00117 -67.550      -24.875      -67.550   -24.875   -68.250   -24.875   TopLayer    360      
C602       AP1-00053 -74.450      -27.855      -74.450   -27.855   -74.450   -27.380   TopLayer    270      
C603       AP1-00053 -70.450      -34.021      -70.450   -34.021   -70.450   -33.546   TopLayer    270      
C604       AP1-00117 -71.525      -34.275      -71.525   -34.275   -71.525   -33.575   TopLayer    270      
C605       AP1-00053 -70.363      -23.775      -70.363   -23.775   -70.363   -23.300   TopLayer    270      
C606       AP1-00053 -71.288      -23.775      -71.288   -23.775   -71.288   -23.300   TopLayer    270      
C607       AP1-00053 -67.550      -26.525      -67.550   -26.525   -67.550   -27.000   TopLayer    90       
C608       AP1-00053 -66.650      -26.525      -66.650   -26.525   -66.650   -27.000   TopLayer    90       
C609       AP1-00053 -74.450      -29.855      -74.450   -29.855   -74.450   -30.330   TopLayer    90       
C613       AP1-00053 -66.025      -27.975      -66.025   -27.975   -66.500   -27.975   TopLayer    360      
C700       AP1-00053 -56.175      -68.975      -56.175   -68.975   -56.650   -68.975   TopLayer    360      
C701       AP1-00053 -59.550      -74.900      -59.550   -74.900   -59.075   -74.900   TopLayer    180      
C703       AP1-00053 -29.450      -45.475      -29.450   -45.475   -29.925   -45.475   TopLayer    360      
C704       AP1-00117 -50.475      -73.775      -50.475   -73.775   -50.475   -73.076   TopLayer    270      
C705       AP1-00053 -49.365      -73.775      -49.365   -73.775   -49.365   -73.300   TopLayer    270      
D300       AP4-00160 -34.075      -11.950      -34.075   -11.950   -34.075   -12.450   TopLayer    90       
D301       AP4-00159 -48.609      -7.075       -48.634   -7.075    -47.834   -6.425    TopLayer    180      
J302       AP8-00745 -23.575      -75.700      -23.575   -75.700   -23.575   -78.240   TopLayer    90       
J303       AP8-00852 -48.434      -3.237       -48.434   -1.675    -47.134   -4.475    TopLayer    180      
J405       AP8-00910 -34.325      -80.600      -34.325   -80.600   -28.610   -78.565   TopLayer    270      
J700       AP8-00377 -62.675      -73.725      -60.925   -73.725   -50.425   -80.030   BottomLayer 270      
JS300      AP8-00525 -224.080     -202.480     -23.575   -74.430   -224.080  -202.480  TopLayer    90       
L600       AP3-00005 -67.550      -23.500      -67.550   -23.500   -66.850   -23.500   TopLayer    180      
L602       AP3-00005 -76.801      -23.575      -76.801   -23.575   -76.101   -23.575   TopLayer    180      
Q300       AP5-00002 -55.750      -92.575      -55.750   -92.575   -56.800   -91.625   TopLayer    360      
R300       AP2-00011 -30.650      -9.850       -30.650   -9.850    -31.150   -9.850    TopLayer    0        
R301       AP2-00011 -35.675      -11.950      -35.675   -11.950   -35.675   -11.450   TopLayer    270      
R302       AP2-00011 -55.200      -90.250      -55.200   -90.250   -55.700   -90.250   TopLayer    360      
R303       AP2-00011 -46.350      -6.775       -46.350   -6.775    -46.350   -7.275    TopLayer    90       
R304       AP2-00011 -57.800      -90.250      -57.800   -90.250   -58.300   -90.250   TopLayer    360      
R305       AP2-00011 -46.350      -8.800       -46.350   -8.800    -46.350   -9.300    TopLayer    90       
R307       AP2-00011 -45.150      -6.775       -45.150   -6.775    -45.150   -6.275    TopLayer    270      
R500       AP2-00008 -73.300      -57.475      -73.300   -57.475   -74.750   -57.475   TopLayer    360      
R501       AP2-00008 -73.300      -51.550      -73.300   -51.550   -71.850   -51.550   TopLayer    180      
R600       AP2-00011 -74.350      -32.200      -74.350   -32.200   -73.850   -32.200   TopLayer    180      
R601       AP2-00011 -60.400      -8.125       -60.400   -8.125    -60.400   -7.625    TopLayer    270      
R602       AP2-00011 -66.025      -28.875      -66.025   -28.875   -66.525   -28.875   TopLayer    360      
R604       AP2-00011 -73.557      -30.480      -73.557   -30.480   -73.557   -30.980   TopLayer    90       
R605       AP2-00011 -61.800      -32.700      -61.800   -32.700   -61.800   -33.200   TopLayer    90       
R615       AP2-00011 -68.450      -33.771      -68.450   -33.771   -68.450   -33.271   TopLayer    270      
R616       AP2-00011 -64.350      -35.150      -64.350   -35.150   -64.350   -35.650   TopLayer    90       
R618       AP2-00011 -63.075      -35.150      -63.075   -35.150   -63.075   -35.650   TopLayer    90       
R700       AP2-00011 -62.950      -70.900      -62.950   -70.900   -62.450   -70.900   TopLayer    180      
R701       AP2-00011 -62.950      -69.950      -62.950   -69.950   -62.450   -69.950   TopLayer    180      
R702       AP2-00011 -62.950      -69.000      -62.950   -69.000   -62.450   -69.000   TopLayer    180      
R703       AP2-00011 -56.201      -69.950      -56.201   -69.950   -55.701   -69.950   TopLayer    180      
R704       AP2-00011 -30.000      -46.326      -30.000   -46.326   -29.500   -46.326   TopLayer    180      
R705       AP2-00011 -50.425      -77.530      -50.425   -77.530   -49.925   -77.530   TopLayer    180      
R706       AP2-00011 -50.425      -80.030      -50.425   -80.030   -49.925   -80.030   TopLayer    180      
R707       AP2-00011 -50.425      -82.530      -50.425   -82.530   -49.925   -82.530   TopLayer    180      
R708       AP2-00011 -50.425      -63.400      -50.425   -63.400   -49.925   -63.400   TopLayer    180      
R709       AP2-00011 -50.425      -65.100      -50.425   -65.100   -49.925   -65.100   TopLayer    180      
R710       AP2-00011 -50.425      -61.400      -50.425   -61.400   -49.925   -61.400   TopLayer    180      
R711       AP2-00011 -50.425      -59.400      -50.425   -59.400   -49.925   -59.400   TopLayer    180      
U300       AP6-00087 -59.975      -92.550      -59.975   -92.550   -58.750   -93.503   TopLayer    180      
U500       AP6-00407 -68.675      -54.500      -68.675   -54.500   -67.263   -55.475   TopLayer    180      
U700       AP6-00186 -59.575      -69.950      -59.575   -69.950   -61.050   -69.200   TopLayer    360      
U701       AP6-00409 -59.550      -76.550      -59.550   -76.550   -61.000   -75.800   TopLayer    360      
XC300      AP7-00090 -19.350      -67.450      -19.350   -67.450   -20.650   -67.450   TopLayer    360      
XC301      AP7-00089 -38.975      -73.300      -38.975   -73.300   -40.125   -74.225   TopLayer    360      
XC600      AP7-00061 -76.425      -28.855      -76.425   -28.855   -77.225   -27.755   TopLayer    270      
Q103       AP5-00047 -18.275      -11.075      -18.275   -11.075   -17.625   -11.950   BottomLayer 180      
R108       AP2-00011 -18.375      -9.350       -18.375   -9.350    -17.875   -9.350    BottomLayer 180      
R202       AP2-00011 -36.425      -42.200      -36.425   -42.200   -36.925   -42.200   TopLayer    360      
R203       AP2-00011 -38.950      -42.200      -38.950   -42.200   -38.450   -42.200   TopLayer    180      
R712       AP2-00011 -28.075      -46.326      -28.075   -46.326   -28.575   -46.326   TopLayer    360      
R204       AP2-00000 -23.725      -52.000      -23.725   -52.000   -23.125   -52.000   TopLayer    180      
R713       AP2-00011 -23.720      -47.825      -23.720   -47.825   -23.720   -47.325   TopLayer    270      
R714       AP2-00011 -24.680      -47.825      -24.680   -47.825   -24.680   -47.325   TopLayer    270      
R715       AP2-00011 -25.640      -47.825      -25.640   -47.825   -25.640   -47.325   TopLayer    270      
